Time Tag,Loop duration,Loop duration a,Loop duration b
2020-01-01 05:00:00,0.003,0.001,0.002
2020-01-01 06:00:00,0.002,0.002,0.0
2020-01-01 07:00:00,0.002,0.001,0.001
2020-01-01 08:00:00,0.002,0.001,0.001
2020-01-01 09:00:00,0.004,0.003,0.001
2020-01-01 10:00:00,0.003,0.002,0.001
2020-01-01 11:00:00,0.005169,0.003169,0.002
2020-01-01 12:00:00,0.004,0.003,0.001
2020-01-01 13:00:00,0.005,0.002,0.003
2020-01-01 14:00:00,0.003,0.002,0.001
2020-01-01 15:00:00,0.003,0.002,0.001
2020-01-01 16:00:00,0.007,0.005,0.002
2020-01-01 17:00:00,0.004,0.003,0.001
2020-01-01 18:00:00,0.006,0.004001,0.001999
2020-01-01 19:00:00,0.009166,0.006166,0.003
2020-01-01 20:00:00,0.004,0.003,0.001
2020-01-01 21:00:00,0.006,0.003,0.003
2020-01-01 22:00:00,0.005,0.003,0.002
2020-01-01 23:00:00,0.003132,0.001131,0.002001
2020-01-02 00:00:00,0.003998,0.000998,0.003
2020-01-02 01:00:00,0.003,0.001,0.002
2020-01-02 02:00:00,0.002,0.001,0.001
2020-01-02 03:00:00,0.002,0.001,0.001
2020-01-02 04:00:00,0.002,0.0,0.002
2020-01-02 05:00:00,0.002,0.0,0.002
2020-01-02 06:00:00,0.004209,0.002,0.002209
2020-01-02 07:00:00,0.002999,0.001999,0.001
2020-01-02 08:00:00,0.002,0.0,0.002
2020-01-02 09:00:00,0.005,0.004,0.001
2020-01-02 10:00:00,0.004,0.003,0.001
2020-01-02 11:00:00,0.007166,0.004152,0.003014
2020-01-02 12:00:00,0.005004,0.001999,0.003005
2020-01-02 13:00:00,0.004996,0.002995,0.002001
2020-01-02 14:00:00,0.003999,0.001999,0.002
2020-01-02 15:00:00,0.004186,0.003186,0.001
2020-01-02 16:00:00,0.006,0.004,0.002
2020-01-02 17:00:00,0.005,0.003002,0.001998
2020-01-02 18:00:00,0.004,0.002,0.002
2020-01-02 19:00:00,0.00615,0.00415,0.002
2020-01-02 20:00:00,0.004,0.002,0.002
2020-01-02 21:00:00,0.005,0.002,0.003
2020-01-02 22:00:00,0.005,0.003,0.002
2020-01-02 23:00:00,0.003124,0.001,0.002124
2020-01-03 00:00:00,0.002999,0.000998,0.002001
2020-01-03 01:00:00,0.003,0.0,0.003
2020-01-03 02:00:00,0.003001,0.001,0.002001
2020-01-03 03:00:00,0.001998,0.001001,0.000997
2020-01-03 04:00:00,0.003001,0.001001,0.002
2020-01-03 05:00:00,0.002,0.001,0.001
2020-01-03 06:00:00,0.00419,0.00219,0.002
2020-01-03 07:00:00,0.003999,0.001999,0.002
2020-01-03 08:00:00,0.003,0.001,0.002
2020-01-03 09:00:00,0.004,0.002,0.002
2020-01-03 10:00:00,0.004,0.003,0.001
2020-01-03 11:00:00,0.004139,0.00214,0.001999
2020-01-03 12:00:00,0.004,0.002,0.002
2020-01-03 13:00:00,0.005001,0.002,0.003001
2020-01-03 14:00:00,0.002999,0.001998,0.001001
2020-01-03 15:00:00,0.004118,0.002,0.002118
2020-01-03 16:00:00,0.006999,0.003999,0.003
2020-01-03 17:00:00,0.005,0.002,0.003
2020-01-03 18:00:00,0.005001,0.003,0.002001
2020-01-03 19:00:00,0.007119,0.004119,0.003
2020-01-03 20:00:00,0.003999,0.002999,0.001
2020-01-03 21:00:00,0.004,0.002,0.002
2020-01-03 22:00:00,0.004,0.002,0.002
2020-01-03 23:00:00,0.003139,0.001002,0.002137
