URI,Label,Definition,Notation,Status,AcceptedDate
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/TOTAL,Total,,TOTAL,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/CF,Combustible fuels,,CF,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/CF_R,Combustible fuels - renewable,,CF_R,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/CF_NR,Combustible fuels - non-renewable,,CF_NR,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/CF_NR_OTH,Combustible fuels - non-renewable - other,,CF_NR_OTH,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0000,Coal and manufactured gases,,C0000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0000X0350-0370,Solid fossil fuels,,C0000X0350-0370,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0100,Hard coal,,C0100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0110,Anthracite,,C0110,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0120,Bituminous coal,,C0120,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0121,Coking coal,,C0121,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0129,Other bituminous coal,,C0129,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0200,Brown coal,,C0200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0210,Sub-bituminous coal,,C0210,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0220,Lignite,,C0220,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0300,Coal products,,C0300,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0310,Coal coke,,C0310,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0311,Coke oven coke,,C0311,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0312,Gas coke,,C0312,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0313,Coke breeze,,C0313,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0314,Semi cokes,,C0314,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0320,Patent fuel,,C0320,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0330,Brown coal briquettes,,C0330,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0340,Coal tar,,C0340,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0350-0370,Manufactured gases,,C0350-0370,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0350,Coke oven gas,,C0350,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0360,Gas works gas,,C0360,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0370,Recovered gases,,C0370,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0371,Blast furnace gas,,C0371,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0372,Basic oxygen steel furnace gas,,C0372,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0379,Other recovered gases,,C0379,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/C0390,Other coal products,,C0390,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1000,Peat and peat products,,P1000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1100,Peat,,P1100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1110,Sod peat,,P1110,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1120,Milled peat,,P1120,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1200,Peat products,,P1200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1210,Peat briquettes,,P1210,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/P1290,Other peat products,,P1290,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/S2000,Oil shale and oil sands,,S2000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/SFF_OTH,Other solid fossil fuels,,SFF_OTH,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/G3000,Natural gas,,G3000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/G3100,Compressed natural gas,,G3100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/G3200,Liquefied natural gas,,G3200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4000,Oil and petroleum products,,O4000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4100_TOT_4200-4500,"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",,O4100_TOT_4200-4500,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4100_TOT,Crude oil,,O4100_TOT,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4100-4500,"Crude oil, NGL, feedstocks and other hydrocarbons",,O4100-4500,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4100_NO4100,Crude oil,,O4100_NO4100,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4100,Conventional crude oil,,O4100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/NO4100,Unconventional crude oil,,NO4100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4200,Natural gas liquids,,O4200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4300,Refinery feedstocks,,O4300,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4400XO4410,Additives and oxygenates (excluding biofuel portion),,O4400XO4410,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4400X4410,Additives and oxygenates (excluding biofuel portion),,O4400X4410,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4400,Additives and oxygenates,,O4400,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4410,Biofuels for blending,,O4410,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4500,Other hydrocarbons,,O4500,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4110_4300-4500,Other primary oil products,,O4110_4300-4500,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4200-4500,Other primary oil,,O4200-4500,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4600,Oil products,,O4600,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4610,Refinery gas,,O4610,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4620,Ethane,,O4620,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4630,Liquefied petroleum gases,,O4630,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4640,Naphtha,,O4640,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4650,Gasolines,,O4650,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4651,Aviation gasoline,,O4651,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4652,Motor gasoline,,O4652,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4652XR5210B,Motor gasoline (excluding biofuel portion),,O4652XR5210B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4652XR5212,Motor gasoline (excluding biofuel portion),,O4652XR5212,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4653,Gasoline-type jet fuel,,O4653,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4660,Kerosenes,,O4660,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4661,Kerosene-type jet fuel,,O4661,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4661XR5230B,Kerosene-type jet fuel (excluding biofuel portion),,O4661XR5230B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4661XR5232,Kerosene-type jet fuel (excluding biofuel portion),,O4661XR5232,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4669,Other kerosene,,O4669,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4670,Gas oil and diesel oil and heavy gas oil,,O4670,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4671,Gas oil and diesel oil,,O4671,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4671XR5220B,Gas oil and diesel oil (excluding biofuel portion),,O4671XR5220B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4671XR5222,Gas oil and diesel oil (excluding biofuel portion),,O4671XR5222,invalid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O46711,Road diesel,,O46711,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O46712,Heating and other gasoil,,O46712,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4672,Heavy gas oil,,O4672,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4680,Fuel oil,,O4680,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4681,Fuel oil (low sulphur <1%),,O4681,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4682,Fuel oil (high sulphur >=1%),,O4682,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4690,Other oil products,,O4690,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4691,White spirit and special boiling point industrial spirits,,O4691,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4692,Lubricants,,O4692,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4693,Paraffin waxes,,O4693,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4694,Petroleum coke,,O4694,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4695,Bitumen,,O4695,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/O4699,Other oil products n.e.c.,,O4699,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/PP_OTH,Other petroleum products,,PP_OTH,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA000,Renewables and biofuels,,RA000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA100,Hydro,,RA100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA110,Pure hydro power,,RA110,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA110ROR,Run-of-river hydro power,,RA110ROR,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA120,Mixed hydro power,,RA120,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA120P,Mixed hydro power - pumping,,RA120P,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA130,Pumped hydro power,,RA130,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA200,Geothermal,,RA200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA300,Wind,,RA300,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA310,Wind on shore,,RA310,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA320,Wind off shore,,RA320,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA400,Solar,,RA400,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA410,Solar thermal,,RA410,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420,Solar photovoltaic,,RA420,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT20,Solar photovoltaic (< 20 kW),,RA420KW_LT20,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW20-1000,Solar photovoltaic (20 kW - 1000 kW),,RA420KW20-1000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420MW_GT1,Solar photovoltaic (1+ MW),,RA420MW_GT1,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420OG,Solar photovoltaic (Off grid),,RA420OG,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA500,"Tide, wave, ocean",,RA500,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA600,Ambient heat (heat pumps),,RA600,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5000,Biofuels,,R5000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5100,Solid biofuels,,R5100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5100F,Solid biofuels - co-firing,,R5100F,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5110-5150_W6000RI,Primary solid biofuels,,R5110-5150_W6000RI,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5110,"Fuelwood, wood residues and byproducts",,R5110,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5111,Wood pellets,,R5111,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5119,"Other fuelwood, wood residues and byproducts",,R5119,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5120,Bagasse,,R5120,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5130,Animal waste,,R5130,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5140,Black liquor,,R5140,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5150,Other vegetal material and residues,,R5150,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6000RI,Renewable fraction of industrial waste,,W6000RI,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5160,Charcoal,,R5160,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5200,Liquid biofuels,,R5200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5210,Biogasoline,,R5210,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5210P,Pure biogasoline,,R5210P,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5210B,Blended biogasoline,,R5210B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5210E,Bioethanol,,R5210E,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5220,Biodiesels,,R5220,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5220P,Pure biodiesels,,R5220P,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5220B,Blended biodiesels,,R5220B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5230,Bio jet kerosene,,R5230,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5230P,Pure bio jet kerosene,,R5230P,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5230B,Blended bio jet kerosene,,R5230B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5290,Other liquid biofuels,,R5290,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5300,Biogases,,R5300,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5300B,Blended biogases,,R5300B,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5310,Biogases from anaerobic fermentation,,R5310,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5311,Landfill gas,,R5311,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5312,Sewage sludge gas,,R5312,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5319,Other biogases from anaerobic fermentation,,R5319,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5320,Biogases from thermal processes,,R5320,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA500_5160,Other renewable energies,,RA500_5160,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6000,Waste,,W6000,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6100,Industrial waste (non-renewable),,W6100,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6100F,Industrial waste (non-renewable) - co-firing,,W6100F,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6200,Municipal waste,,W6200,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6200F,Municipal waste - co-firing,,W6200F,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6210,Renewable municipal waste,,W6210,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6210F,Renewable municipal waste - co-firing,,W6210F,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6220,Non-renewable municipal waste,,W6220,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6220F,Non-renewable municipal waste - co-firing,,W6220F,valid,07/12/2018
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/W6100_6220,Non-renewable waste,,W6100_6220,valid,07/12/2018
